tipo,status,data,"venc. fatura",valor,descrição,categoria,conta,"conta transferência",centro,contato,forma,projeto,"n. documento",observações,"data competência","id único",tags,cartão,repetição,"meta de economia"
despesa,confirmado,02/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796323,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"8,80","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796337,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796361,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796384,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"4,70","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796455,"despesas - black box",,único,
receita,confirmado,03/04/2025,,"1,74","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,03/04/2025,270796498,receita,,único,
despesa,confirmado,03/04/2025,,"9,15","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796519,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796675,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"6,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796686,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"2,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796697,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"7,40","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796728,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"8,50","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796749,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"5,50","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796759,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"8,50","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796794,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"3,70","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270797136,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"3,70","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270797223,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270797360,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"7,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270797455,"despesas - black box",,único,
despesa,confirmado,03/04/2025,,"17,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270798922,"despesas - black box",,único,
receita,confirmado,04/04/2025,,"2,56","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,04/04/2025,270797583,receita,,único,
despesa,confirmado,04/04/2025,,"15,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270797671,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"8,50","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798006,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798017,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"1,20","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798038,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"8,50","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798098,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798259,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"3,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798338,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"12,20","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270798464,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"6,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799097,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"8,50","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799115,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"11,90","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799134,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"7,40","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799162,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"13,40","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799222,"despesas - black box",,único,
despesa,confirmado,04/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799251,"despesas - black box",,único,
receita,confirmado,05/04/2025,,"4,08","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,05/04/2025,270799278,receita,,único,
despesa,confirmado,05/04/2025,,"18,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799350,"despesas - black box",,único,
despesa,confirmado,05/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799376,"despesas - black box",,único,
despesa,confirmado,05/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799402,"despesas - black box",,único,
receita,confirmado,06/04/2025,,"1,85","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,06/04/2025,270799446,receita,,único,
despesa,confirmado,06/04/2025,,"21,30","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799499,"despesas - black box",,único,
despesa,confirmado,06/04/2025,,"18,60","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799688,"despesas - black box",,único,
receita,confirmado,07/04/2025,,"1,83","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,07/04/2025,270799739,receita,,único,
despesa,confirmado,07/04/2025,,"3,70","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799755,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799852,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799862,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"2,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799884,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"2,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799963,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270799978,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800037,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800079,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800095,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800112,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"17,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800128,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"25,50","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800226,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"10,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800385,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"7,60","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800404,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"14,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800570,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"3,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800587,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"2,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270800638,"despesas - black box",,único,
despesa,confirmado,07/04/2025,,"2,80","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270802950,"despesas - black box",,único,
receita,confirmado,08/04/2025,,"6,09","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,08/04/2025,270801251,receita,,único,
despesa,confirmado,08/04/2025,,"2,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270804356,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270804736,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"2,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270804945,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"3,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270804966,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"11,30","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270804988,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"4,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270805005,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"9,00","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270805305,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"6,80","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270805349,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"4,90","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270805370,"despesas - black box",,único,
despesa,confirmado,08/04/2025,,"2,90","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270806291,"despesas - black box",,único,
receita,confirmado,09/04/2025,,"6,47","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,09/04/2025,270806369,receita,,único,
despesa,confirmado,09/04/2025,,"5,20","estorno compra nacional em carone gaivotas          vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,03/04/2025,270806411,"despesas - black box",,único,
